Console,Title,Usedprice,Review Score,US Sales (millions)
Nintendo DS,Dragon Quest Monsters: Joker,14.95,75,0.24
Nintendo DS,Pirates of the Caribbean: Dead Man's Chest,11.95,63,0.24
Sony PSP,NFL Street 3,14.95,68,0.24
Sony PSP,Syphon Filter: Dark Mirror,12.95,87,0.24
PlayStation 3,NBA 07,6.95,63,0.23
X360,FIFA World Cup: Germany 2006,14.95,72,0.23
PlayStation 3,Ridge Racer 7,19.95,78,0.23
X360,The Outfit,14.95,70,0.23
Nintendo Wii,Elebits,14.95,75,0.22
Nintendo DS,Tony Hawk's Downhill Jam,14.95,76,0.22
Sony PSP,The Sims 2: Pets,17.95,57,0.21
Sony PSP,Tiger Woods PGA Tour 07,12.95,78,0.21
X360,Disney/Pixar Cars,16.95,65,0.2
Sony PSP,Thrillville,14.95,72,0.2
X360,The Godfather: The Game,17.95,77,0.2
Nintendo Wii,Rampage: Total Destruction,16.95,46,0.19
X360,College Hoops 2K7,6.95,82,0.19
X360,Far Cry: Instincts - Predator,17.95,78,0.19
X360,Full Auto,16.95,70,0.19
Nintendo DS,Age of Empires: The Age of Kings,17.95,80,0.19
Nintendo DS,Need for Speed: Carbon - Own the City,14.95,70,0.19
Sony PSP,Brothers in Arms: D-Day,6.95,65,0.19
Sony PSP,Family Guy Video Game!,19.95,51,0.19
X360,Superman Returns,7.95,51,0.19
X360,Over G Fighters,17.95,49,0.18
X360,Final Fantasy XI Online,4.95,66,0.18
Nintendo DS,Mystery Dungeon: Shiren the Wanderer,17.95,69,0.17
Nintendo DS,Phoenix Wright: Ace Attorney - Justice for All,13.95,76,0.17
Sony PSP,Justice League Heroes,17.95,72,0.17
Sony PSP,Valhalla Knights,16.95,53,0.17
PlayStation 3,Genji: Days of the Blade,14.95,55,0.17
X360,Top Spin 2,12.95,75,0.16
Sony PSP,Field Commander,14.95,77,0.16
Nintendo DS,Children of Mana,16.95,65,0.16
Sony PSP,Valkyrie Profile: Lenneth,22.95,80,0.16
Nintendo DS,Brain Boost: Beta Wave,12.95,39,0.15
Nintendo DS,Brain Boost: Gamma Wave,13.95,40,0.15
Nintendo DS,Monster House,14.95,62,0.15
X360,Enchanted Arms,17.95,69,0.15
Sony PSP,NHL 07,12.95,76,0.14
Sony PSP,Bust-a-Move Deluxe,14.95,73,0.14
PlayStation 3,Full Auto 2: Battlelines,14.95,67,0.14
X360,Blitz: The League,14.95,69,0.14
X360,Star Trek Legacy,24.95,64,0.14
Nintendo DS,Eragon,16.95,63,0.14
Nintendo DS,Master of Illusion,14.95,69,0.14
Nintendo DS,Mega Man ZX,19.95,76,0.14
Sony PSP,Untold Legends: The Warrior's Code,14.95,65,0.14
Nintendo Wii,Super Swing Golf,16.95,72,0.14
X360,World Series of Poker: Tournament of Champions,14.95,69,0.14
X360,X-Men: The Official Game,14.95,52,0.14
PlayStation 3,Untold Legends: Dark Kingdom,16.95,58,0.13
Nintendo Wii,Happy Feet,14.95,46,0.13
Nintendo DS,Open Season,17.95,72,0.13
Sony PSP,Dungeon Siege: Throne of Agony,24.95,74,0.13
Sony PSP,LocoRoco,17.95,83,0.13
X360,Dead or Alive: Xtreme 2,14.95,53,0.13
X360,Fuzion Frenzy 2,14.95,49,0.12
X360,MotoGP '06,14.95,80,0.12
Sony PSP,Lumines II,14.95,81,0.12
Nintendo DS,Tamagotchi Connexion: Corner Shop,15.95,59,0.12
Sony PSP,Major League Baseball 2K6,4.95,69,0.12
Sony PSP,Star Wars: Lethal Alliance,17.95,61,0.12
Sony PSP,Worms: Open Warfare,17.95,70,0.12
Sony PSP,Eragon,14.95,59,0.11
Nintendo Wii,Metal Slug Anthology,16.95,73,0.11
X360,Open Season,14.95,59,0.11
Nintendo Wii,Tom Clancy's Splinter Cell: Double Agent,17.95,61,0.11
Sony PSP,Avatar: The Last Airbender,17.95,57,0.11
Sony PSP,FIFA World Cup: Germany 2006,17.95,72,0.11
Sony PSP,Lemmings,17.95,76,0.11
Sony PSP,Mega Man Powered Up,16.95,82,0.11
X360,College Hoops 2K6,6.95,70,0.11
X360,Dynasty Warriors 5: Empires,14.95,61,0.1
Nintendo DS,Magical Starsign,9.95,69,0.1
Nintendo DS,Resident Evil: Deadly Silence,17.95,71,0.1
Nintendo DS,X-Men: The Official Game,14.95,50,0.1
Sony PSP,NBA Ballers: Rebound,14.95,69,0.1
Sony PSP,World Series of Poker: Tournament of Champions,16.95,70,0.1
X360,Cabela's African Safari,17.95,53,0.1
X360,Cabela's Alaskan Adventures,17.95,48,0.1
PlayStation 3,Armored Core 4,19.95,65,0.09
X360,Eragon,12.95,48,0.09
Nintendo DS,LostMagic,14.95,68,0.09
Nintendo DS,Magnetica,17.95,68,0.09
Sony PSP,Def Jam Fight for NY: The Takeover,17.95,79,0.09
Sony PSP,NASCAR 07,24.95,66,0.09
Nintendo Wii,The Ant Bully,16.95,45,0.09
X360,Just Cause,16.95,73,0.09
X360,Onechanbara: Bikini Samurai Squad,19.95,39,0.09
X360,Phantasy Star Universe,24.95,64,0.09
X360,Project Sylpheed: Arc of Deception,14.95,64,0.09
X360,Winning Eleven: Pro Evolution Soccer 2007,11.95,80,0.08
Nintendo Wii,Kororinpa: Marble Mania,17.95,69,0.08
Nintendo DS,Charlotte's Web,14.95,60,0.08
Nintendo DS,Digimon World DS,27.95,49,0.08
Nintendo DS,Justice League Heroes,17.95,43,0.08
Sony PSP,Innocent Life: A Futuristic Harvest Moon,17.95,67,0.08
Sony PSP,Power Stone Collection,14.95,74,0.08
Sony PSP,EA Replay,14.95,56,0.07
Nintendo Wii,Open Season,17.95,49,0.07
X360,Samurai Warriors 2,14.95,52,0.07
Nintendo Wii,Disney/Pixar Cars,17.95,65,0.07
Nintendo Wii,Far Cry: Vengeance,16.95,38,0.07
X360,Import Tuner Challenge,17.95,54,0.07
Nintendo DS,Contact,14.95,73,0.07
Nintendo DS,Finding Nemo: Escape to the Big Blue,17.95,66,0.07
Nintendo DS,Touch Detective,14.95,60,0.07
Sony PSP,FIFA Street 2,17.95,58,0.07
Sony PSP,007: From Russia with Love,17.95,61,0.07
Sony PSP,PaRappa the Rapper,12.95,67,0.07
Sony PSP,Riviera: The Promised Land,17.95,68,0.07
Sony PSP,Samurai Warriors: State of War,17.95,64,0.07
Sony PSP,Viewtiful Joe: Red Hot Rumble,14.95,63,0.07
Nintendo Wii,Ice Age 2: The Meltdown,17.95,66,0.07
X360,Rumble Roses XX,17.95,62,0.06
Nintendo DS,Bionicle Heroes,16.95,72,0.06
Nintendo DS,Deep Labyrinth,10.95,57,0.06
Sony PSP,Blade Dancer: Lineage of Light,16.95,60,0.06
Sony PSP,Every Extend Extra,11.95,74,0.06
Sony PSP,Ultimate Ghosts 'N' Goblins,17.95,72,0.06
Sony PSP,Xiaolin Showdown,14.95,44,0.06
X360,Bionicle Heroes,14.95,59,0.06
X360,Bullet Witch,16.95,55,0.06
Sony PSP,Activision Hits Remixed,17.95,75,0.05
Sony PSP,Death Jr. II: Root of Evil,14.95,68,0.05
Nintendo DS,Alex Rider: Stormbreaker,12.95,48,0.05
Nintendo DS,Cartoon Network Racing,14.95,55,0.05
Nintendo DS,Guilty Gear: Dust Strikers,14.95,60,0.05
Nintendo DS,Gunpey DS,12.95,70,0.05
Nintendo DS,March of the Penguins,7.95,34,0.05
Nintendo DS,Lara Croft Tomb Raider: Legend,17.95,58,0.05
Nintendo DS,Worms: Open Warfare,17.95,64,0.05
Sony PSP,Mercury Meltdown,12.95,78,0.05
Sony PSP,MTX Mototrax,19.95,67,0.05
Sony PSP,Snoopy vs. the Red Baron,17.95,76,0.05
Sony PSP,Super Monkey Ball Adventure,24.95,56,0.05
Sony PSP,Ys VI: The Ark of Napishtim,16.95,64,0.05
Nintendo Wii,World Series of Poker: Tournament of Champions,24.95,46,0.05
Nintendo DS,Bomberman Land Touch!,24.95,78,0.04
Nintendo DS,Lionel Trains on Track,13.95,47,0.04
Nintendo DS,Point Blank DS,17.95,66,0.04
Nintendo DS,Scurge: Hive,8.95,70,0.04
Nintendo DS,Star Trek: Tactical Assault,17.95,63,0.04
Nintendo DS,Tao's Adventure: Curse of the Demon Seal,14.95,50,0.04
Sony PSP,Ford Bold Moves Street Racing,17.95,52,0.04
Sony PSP,Gitaroo Man Lives!,22.95,80,0.04
Sony PSP,Gradius Collection,17.95,76,0.04
Sony PSP,The Legend of Heroes II: Prophecy of the Moonli...,17.95,63,0.04
Sony PSP,Pac-Man World Rally,17.95,51,0.04
X360,Bomberman: Act Zero,12.95,34,0.04
Sony PSP,Taito Legends: Power-Up,16.95,61,0.03
Nintendo Wii,Wing Island,19.95,47,0.03
X360,Earth Defense Force 2017,17.95,69,0.03
X360,WarTech: Senko no Ronde,12.95,60,0.03
Nintendo DS,MechAssault: Phantom War,12.95,66,0.03
Sony PSP,Astonishia Story,16.95,48,0.03
Sony PSP,B-Boy,17.95,50,0.03
Sony PSP,BattleZone,14.95,57,0.03
Sony PSP,Bounty Hounds,17.95,63,0.03
Sony PSP,Bubble Bobble Evolution,12.95,47,0.03
Sony PSP,MotoGP,32.95,69,0.03
Sony PSP,OutRun 2006: Coast 2 Coast,17.95,82,0.03
Sony PSP,Stacked with Daniel Negreanu,16.95,63,0.03
Sony PSP,Street Supremacy,7.95,41,0.03
Sony PSP,Warhammer: Battle for Atluma,17.95,55,0.03
Sony PSP,Online Chess Kingdoms,12.95,60,0.02
Nintendo DS,Freedom Wings,14.95,46,0.02
Nintendo DS,Konductra,19.95,60,0.02
Nintendo DS,SBK: Snowboard Kids,19.95,63,0.02
Nintendo DS,Tenchu: Dark Secret,14.95,37,0.02
Sony PSP,Dungeon Maker: Hunting Ground,14.95,70,0.02
Sony PSP,Metal Gear Solid: Digital Graphic Novel,17.95,78,0.02
Sony PSP,Payout Poker & Casino,17.95,54,0.02
Sony PSP,Rengoku 2: Stairway to H.E.A.V.E.N.,9.95,51,0.02
Sony PSP,Star Trek: Tactical Assault,17.95,64,0.02
Sony PSP,Micro Machines V4,17.95,61,0.01
Sony PSP,Platypus,14.95,59,0.01
Nintendo DS,Custom Robo Arena,17.95,74,0.01
Nintendo DS,Monster Bomber,13.95,55,0.01
Sony PSP,Gurumin: A Monstrous Adventure,13.95,78,0.01
Sony PSP,Pocket Racers,12.95,39,0.01
Sony PSP,Spider-Man 3,6.95,58,0.01
Nintendo Wii,Wii Fit,24.95,80,9.6
X360,Halo 3,24.95,94,8.03
X360,Call of Duty 4: Modern Warfare,29.95,94,5.77
Nintendo Wii,Super Mario Galaxy,39.95,97,4.94
Nintendo DS,Mario Party DS,27.95,72,4.34
Nintendo Wii,Mario Party 8,39.95,62,3.84
X360,Guitar Hero III: Legends of Rock,12.95,85,3.28
Nintendo Wii,Link's Crossbow Training,14.95,68,3.2
Nintendo Wii,Guitar Hero III: Legends of Rock,49.95,86,3.19
X360,Assassin's Creed,16.95,81,3.17
Nintendo Wii,LEGO Star Wars: The Complete Saga,17.95,80,3.03
